trend; pattern; quantile; daysRet; mean; SE; t; paval
50;hammer;60;15;-0,021765;0,0023433;-12,7717;7,895e-035;***
50;hammer;60;20;-0,0158369;0,00267495;-9,96912;1,31325e-022;***
50;hammer;60;40;-0,00688661;0,00378118;-7,52198;6,36366e-014;***
50;hammer;60;60;-0,000345617;0,00474778;-6,89169;5,08603e-012;***
50;hammer;130;5;-0,0159237;0,00138156;-13,5578;1,11027e-038;***
50;hammer;130;10;-0,0251687;0,00201903;-15,1907;4,47733e-047;***
50;hammer;130;15;-0,0210263;0,00240792;-12,1222;7,8684e-032;***
50;hammer;130;20;-0,0163365;0,00277238;-9,79897;5,92119e-022;***
50;hammer;130;40;-0,0068849;0,00370488;-7,67644;2,04386e-014;***
50;hammer;130;60;0,000638052;0,00481616;-6,58959;3,66628e-011;***
50;hammer;260;5;-0,0166849;0,00131731;-14,797;2,12189e-045;***
50;hammer;260;10;-0,024417;0,00188309;-15,8881;2,37498e-051;***
50;hammer;260;15;-0,0227803;0,00224266;-13,7975;3,4404e-040;***
50;hammer;260;20;-0,0189221;0,00259122;-11,4819;4,09333e-029;***
50;hammer;260;40;-0,0101184;0,00346399;-9,14374;1,54776e-019;***
